ID,N_VICTIMAS,AÑO,MES,DIA,HORA,LUGAR_DEL_HECHO,TIPO_DE_RUTA,COMUNA,X,Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2017-0029,1,2017,3,7,2,MOZART Y TANDIL,calle,9,-58.48501341,-34.64742455,moto,auto,conductor,masculino,34
2017-0030,1,2017,3,7,8,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,avenida,9,-58.47010988,-34.65872088,auto,pasajeros,conductor,femenino,27
2017-0031,1,2017,3,11,1,24 DE NOVIEMBRE Y PAVON ,calle,3,-58.40997560,-34.62873635,auto,objeto fijo,pasajero_acompañante,masculino,70
2017-0032,1,2017,3,12,5,AV. GRAL. PAZ Y PEDRO DE MENDOZA,avenida,8,-58.48892175,-34.68359163,auto,auto,pasajero_acompañante,femenino,40
2017-0033,1,2017,3,12,7,AV. GRAL. PAZ KM. 10,avenida,11,-58.52466448,-34.60325478,auto,auto,conductor,masculino,28
2017-0034,1,2017,3,13,7,GODOY CRUZ 2651,calle,14,-58.42554218,-34.57929036,peaton,auto,peaton,masculino,43
2017-0035,3,2017,3,23,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,avenida,1,-58.35881506,-34.61113641,auto,objeto fijo,conductor,masculino,28
2017-0035,3,2017,3,23,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,avenida,1,-58.35881506,-34.61113641,auto,objeto fijo,pasajero_acompañante,masculino,32
2017-0035,3,2017,3,23,5,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,avenida,1,-58.35881506,-34.61113641,auto,objeto fijo,pasajero_acompañante,masculino,30
2017-0036,2,2017,3,29,18,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,avenida,12,-58.51452347,-34.58159762,moto,pasajeros,pasajero_acompañante,femenino,37
2017-0036,2,2017,3,29,18,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,avenida,12,-58.51452347,-34.58159762,moto,pasajeros,conductor,masculino,20
2017-0037,1,2017,3,31,3,AV. INDEPENDENCIA Y VIRREY CEVALLOS,avenida,1,-58.38896772,-34.61799615,moto,cargas,conductor,masculino,41
2017-0038,1,2017,4,1,19,AV. CASTAÑARES Y LAUTARO,avenida,7,-58.44516857,-34.64363363,moto,auto,conductor,femenino,40
2017-0040,1,2017,4,3,9,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,avenida,13,-58.43834197,-34.54560369,auto,multiple,conductor,masculino,43
2017-0041,1,2017,4,3,23,BALDOMERO FERNANDEZ MORENO 2186,calle,7,-58.45485084,-34.63531854,moto,auto,conductor,masculino,17
2017-0042,1,2017,4,10,9,AV. LEOPOLDO LUGONES PKM 6900,avenida,14,.,.,moto,cargas,conductor,masculino,37
2017-0045,1,2017,4,14,6,NOGOYA 5940,calle,10,-58.52449285,-34.62454175,moto,objeto fijo,conductor,masculino,21
2017-0047,1,2017,4,23,6,AV. ARGENTINA Y AV. CORVALAN,avenida,8,-58.46713742,-34.67198790,moto,auto,conductor,masculino,37
2017-0049,1,2017,4,27,18,AV. FERNANDEZ DE LA CRUZ Y VARELA,avenida,8,-58.43850413,-34.65554754,peaton,pasajeros,peaton,masculino,22
2017-0050,2,2017,4,28,11,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,autopista,9,.,.,moto,cargas,conductor,masculino,46
2017-0050,2,2017,4,28,11,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,autopista,9,.,.,moto,cargas,pasajero_acompañante,masculino,16
2017-0051,1,2017,5,1,3,AU DELLEPIANE 2400,autopista,7,.,.,auto,auto,conductor,masculino,33
2017-0052,1,2017,5,5,3,AV. GRAL. PAZ Y GOLETA JULIA,avenida,8,-58.49413799,-34.68095739,peaton,cargas,peaton,femenino,47
2017-0053,1,2017,5,5,20,VIEYTES Y VILLARINO,calle,4,-58.37547846,-34.65326075,moto,cargas,conductor,masculino,28
2017-0054,1,2017,5,7,21,AV. DE LOS CONSTITUYENTES Y PEDRO MORAN,avenida,15,-58.48680218,-34.58689719,moto,auto,pasajero_acompañante,femenino,20
2017-0055,1,2017,5,9,8,AV. DE LOS CONSTITUYENTES 4900,avenida,12,-58.49563989,-34.57962262,auto,auto,conductor,masculino,32
2017-0058,1,2017,5,9,23,AV. CORDOBA Y LIBERTAD,avenida,1,-58.38403232,-34.59915940,peaton,moto,peaton,masculino,80
2017-0059,1,2017,5,11,9,BRASIL Y LIMA,calle,1,-58.38223382,-34.62693865,peaton,pasajeros,peaton,femenino,39
2017-0060,1,2017,5,13,7,AV. ESCALADA Y AV. FERNANDEZ DE LA CRUZ,avenida,8,-58.45966521,-34.67323292,moto,objeto fijo,pasajero_acompañante,masculino,30
2017-0061,1,2017,5,15,13,PARAGUAY Y AV. CALLAO ,avenida,2,-58.39303911,-34.59871111,peaton,moto,peaton,masculino,47
2017-0062,1,2017,5,15,16,AV. JUAN B JUSTO Y SAN BLAS,avenida,10,-58.51262106,-34.63395999,moto,cargas,conductor,masculino,35
2017-0063,1,2017,5,17,10,CHILE Y AV. 9 DE JULIO,avenida,1,-58.38118367,-34.61646839,peaton,pasajeros,peaton,femenino,79
2017-0064,1,2017,5,20,5,MAIPU Y PERON,calle,1,-58.37653284,-34.60582475,cargas,auto,pasajero_acompañante,masculino,61
2017-0065,1,2017,5,22,16,AV. SUAREZ Y HERRERA,avenida,4,-58.37709334,-34.64035082,bicicleta,cargas,ciclista,masculino,21
2017-0066,1,2017,5,22,18,AV. SAN MARTIN Y FRAGATA SARMIENTO,avenida,15,-58.46002142,-34.60409469,peaton,pasajeros,peaton,masculino,10
2017-0067,1,2017,5,23,2,AV. DIRECTORIO Y AV. JOSE MARIA MORENO,avenida,6,-58.43381970,-34.62801894,moto,cargas,conductor,masculino,21
